id,value
"PRT","3"
"AUS","27"
"ISR","9"
"BGD","1"
"ROU","5"
"Europe","2"
"UGA","1"
"ISL","2"
"DNK","4"
"THA","1"
"NOR","6"
"DEU","42"
"LKA","3"
"ITA","11"
"FIN","6"
"JPN","4"
"CAN","41"
"IDN","1"
"QAT","1"
"IND","16"
"HRV","3"
"IRN","1"
"UK","47"
"COL","1"
"MYS","1"
"IRL","5"
"TUR","3"
"POL","6"
"AUT","8"
"EST","3"
"ESP","2"
"ZAF","6"
"PAK","2"
"PER","1"
"GRC","3"
"FRA","13"
"LUX","1"
"HUN","2"
"GBR","24"
"BLR","1"
"CHE","5"
"TWN","1"
"LVA","1"
"SWE","11"
"CZE","5"
"CHN","2"
"Riyadh Saudi Arabia","1"
"HKG","3"
"NLD","18"
"SGP","4"
"USA","300"
"NZL","1"
"RUS","6"
"PHL","2"
"ZMB","1"
"BRA","9"
"SVK","1"
"UKR","3"
"BEL","5"
"SVN","1"
"BIH","1"
