id,value
Florø,1
Stockholm,3
Queensland,2
Cape Town,1
 İstanbul,1
Bucharest,3
Neustadt,1
 Kharkiv Oblast,1
VA,1
Dublin,4
Cambridge,5
Karlsruhe,1
 IA,1
 ,167
Victoria,2
Milan,1
UT,2
Southampton,2
Berlin,9
Tokyo,2
Zagreb,2
Lusaka,1
 NY 14580,1
Leiculeşti,1
 Odessa Oblast,1
 HI,1
Jerusalem,1
 West Bengal,2
Reykjavík,1
Linz,1
Lübeck,2
Durham,1
Belfast,1
 MO 63862,1
Düsseldorf,1
Espoo,1
Hertford,1
Mainz,2
Rome,1
 CO 80863,1
 IN,2
Glasgow,2
 IL,7
Eindhoven,1
 Osaka Prefecture,1
St Kilda West VIC 3182,1
Hove,1
 Bogota,1
 Metro Manila,1
Malmö,1
Wrocław,1
British Columbia,1
WI,1
Hanover,2
Porsgrunn,1
Liège,1
 LA,1
Leiden,2
Doha,1
Alberta,1
 Delhi 110092,1
 Tehran Province,1
Vienna,6
Lima District,1
76260 Eu,1
 MA,15
 MB,1
 AK 99556,1
Nova Gorica,1
 MD,4
Lahore,1
AZ,1
 MI,3
Scotland,1
Surrey,1
 Karnataka,3
Paris,5
AK,1
Bonn,1
Beijing,1
Manchester,2
 NE 68467,1
 NE,1
 NB,1
 NC,4
Oxford,3
Middlesbrough,1
Athens,2
CA,7
Lund,1
Porvoo,1
 Province of Brescia,1
Regensburg,1
Ulm,1
Ankara,2
 MO,3
 MN,1
 NY 11767,1
 MS 39192,1
Enschede,1
Aalborg,1
 OK,1
Tuzla,1
 ON,14
Lyon,1
 OH,2
Lisbon,2
Tallinn,1
 NV,2
Prague,3
 NY,26
Brno,1
Warsaw,2
Brighton,1
Kiev,1
Dhaka,1
 IN 46120,1
4000 Roskilde,1
MI,3
Sydney NSW,6
Karachi,1
MD,2
 QC,4
MA,1
Oradea,1
Madrid,1
Colombo,1
MO,1
Kandy,1
Frankfurt,1
 OR,4
Stavanger,1
Helsinki,2
 Uttar Pradesh 247001,1
NJ,4
 PA,12
Minsk,1
NC,3
Zürich,1
Moscow,4
England,1
 NM 87801,1
 RS,2
Newcastle upon Tyne,1
 West Java,1
 AB,4
London,16
Galway,1
Nottingham,2
 SK,1
 AZ,2
Copenhagen,1
 SP,1
OH,1
 SC,2
 AR,1
Bærums Verk,1
Gothenburg,2
OR,1
Johannesburg,1
 BC,7
 CA,61
 State of Santa Catarina,1
 TX,12
Brisbane QLD,1
Delft,2
 Province of Pisa,1
Amsterdam,2
 CO,11
Kent,1
Perth WA 6000,2
 Maharashtra,2
Melbourne VIC,6
 UT,1
Pretoria,1
 DC,3
Antibes,1
 Duga Resa,1
Kampala,1
Lille,1
Taipei City,1
 MN 55057,1
 State of Rio de Janeiro,1
 Jharkhand,1
Bath,1
 TN,2
Edinburgh,2
 WA,19
Lausanne,1
 WI,5
Florence,1
 CA 95249,1
Leipzig,1
Maastricht,2
Oslo,1
Budapest,2
Tel Aviv-Yafo,1
 FL,4
Munich,2
Burnie TAS 7320,1
Leuven,1
 VA,4
 TX 79031,4
 Telangana,1
Rotterdam,1
Exeter,1
Stuttgart,1
 Federal District,1
 OH 43326,1
 GA,5
Würzburg,1
