id,value
"AUS","24"
"PRT","6"
"BGD","1"
"ISR","15"
"ROU","4"
"Europe","3"
"UGA","1"
"DNK","5"
"THA","2"
"NOR","6"
"DEU","41"
"LKA","1"
"LBN","1"
"ITA","4"
"JPN","7"
"FIN","6"
"CAN","26"
"IDN","3"
"QAT","2"
"IND","32"
"HRV","1"
"ARG","1"
"IRN","3"
"UK","52"
"MYS","1"
"IRL","4"
"TUR","3"
"POL","9"
"BGR","2"
"AUT","8"
"EST","1"
"ESP","7"
"PAK","3"
"ZAF","1"
"GRC","4"
"FRA","23"
"VEN","1"
"EGY","1"
"BLR","1"
"GBR","15"
"TWN","1"
"VNM","1"
"CHE","11"
"Srinagar","1"
"SWE","13"
"CHL","1"
"CZE","4"
"CHN","5"
"HKG","2"
"NPL","2"
"NLD","8"
"SGP","2"
"NZL","5"
"USA","273"
"LAO","1"
"Macedonia (FYROM)","1"
"RUS","10"
"PHL","1"
"MLT","1"
"BRA","3"
"NIC","1"
"BEL","4"
"UKR","1"
