id,value
"","371"
"VT","1"
"NY","16"
"GA","8"
"CA 95035","1"
"CA","68"
"TX 77042","1"
"OK","1"
"VA","4"
"MI","3"
"OH","4"
"ID","1"
"FL","2"
"MD","4"
"MA","4"
"MA 02134","1"
"TX 79031","1"
"IL","3"
"MN","4"
"AZ","3"
"KS","1"
"OR","2"
"NH 03055","1"
"NH","1"
"WA","5"
"NJ","3"
"MI 48362","1"
"TX","8"
"CO","4"
"PA 19063","1"
"NC","6"
"PA","4"
"","371"
"VT","1"
"NY","16"
"GA","8"
"CA 95035","1"
"CA","68"
"TX 77042","1"
"OK","1"
"VA","4"
"MI","3"
"OH","4"
"ID","1"
"FL","2"
"MD","4"
"MA","4"
"MA 02134","1"
"TX 79031","1"
"IL","3"
"MN","4"
"AZ","3"
"KS","1"
"OR","2"
"NH 03055","1"
"NH","1"
"WA","5"
"NJ","3"
"MI 48362","1"
"TX","8"
"CO","4"
"PA 19063","1"
"NC","6"
"PA","4"
