id,value
"RI","1"
"","545"
"WA 98104","1"
"NY","29"
"GA","5"
"NM 87507","1"
"TN","3"
"CA 95035","1"
"CA","76"
"NC 28470","1"
"MI 49721","1"
"TX 77042","1"
"WA 98826","1"
"VA","6"
"OH","3"
"DE","1"
"FL","4"
"MD","5"
"MA","16"
"TX 79031","1"
"VA 22401","1"
"MT 59847","1"
"UT","2"
"IL","11"
"IN","1"
"CT","2"
"MN 55811","1"
"MN","3"
"DC","7"
"KY","1"
"AZ","4"
"MO","3"
"OR","2"
"WA","12"
"NJ","5"
"OR 97756","1"
"California 93111","1"
"IN 46077","1"
"NM","1"
"MN 55113","1"
"TX","11"
"CO","8"
"PA 19063","1"
"NC","7"
"PA","7"
