id,value
"","434"
"HI","1"
"NY 11767","1"
"VA","5"
"MI","6"
"CO 80863","1"
"IA","1"
"MD","6"
"MA","16"
"NY 14580","1"
"AR","1"
"IL","7"
"UT","3"
"IN","2"
"MN","1"
"AK 99556","1"
"AZ","3"
"MO","4"
"MS 39192","1"
"NJ","4"
"NE 68467","1"
"AK","1"
"TX","12"
"NC","7"
"NE","1"
"NY","26"
"GA","5"
"NV","2"
"TN","2"
"CA","68"
"OH 43326","1"
"OK","1"
"OH","3"
"NM 87801","1"
"CA 95249","1"
"FL","4"
"SC","1"
"TX 79031","4"
"DC","3"
"WI","6"
"IN 46120","1"
"AZ 85396","1"
"MO 63862","1"
"OR","5"
"LA","1"
"WA","19"
"CO","11"
"MN 55057","1"
"PA","12"
