id,value
"","499"
"RI","1"
"VT","1"
"NC 27606","1"
"LA 71360","1"
"ME","1"
"VA","2"
"MI","4"
"MA 02151","3"
"MD","3"
"MA","22"
"AR","1"
"UT","2"
"IL","10"
"IN","2"
"WI 54022","1"
"MN","4"
"AZ","4"
"MO","4"
"MT","1"
"CT 06471","1"
"NH","1"
"NJ","2"
"NM","2"
"AL","1"
"TX","13"
"NM 87544","2"
"NC","5"
"NY","32"
"GA","6"
"NV","1"
"NY 12589","1"
"CA","77"
"OH","4"
"WY","1"
"FL","6"
"NY 11218","1"
"SC","2"
"TX 79031","1"
"CT","1"
"DC","8"
"WI","4"
"KY","1"
"IN 46120","1"
"PA 16827","1"
"OR","2"
"WA","15"
"WA 98368","1"
"CO","5"
"PA","8"
