id,value
"RI","1"
"","722"
"VT","2"
"HI","1"
"NY 12569","1"
"NC 27603","1"
"PA 17011","1"
"VA","3"
"MI","5"
"NY 10930","1"
"IA","4"
"CA 94568","1"
"MD","3"
"MA","8"
"TN 37172","1"
"UT","1"
"IL","8"
"IN","4"
"MN","6"
"AZ","4"
"MO","3"
"MT","1"
"MI 48346","1"
"NH","1"
"NJ","8"
"NY 13637","1"
"TX","12"
"NC","6"
"NE","3"
"NY","35"
"GA","3"
"NV","1"
"PA 19406","1"
"TN","3"
"CA","85"
"NM 87801","1"
"OH","1"
"FL","6"
"AL 36401","1"
"TX 79031","1"
"SC","4"
"CA 93314","1"
"WV","1"
"DC","6"
"WI","6"
"KY","2"
"CA 96161","1"
"OR","7"
"PA 18011","1"
"LA","1"
"WA","18"
"NY 14534","1"
"MA 02345","1"
"CO","8"
"PA","9"
