id,value
"","577"
"RI","1"
"WA 98104","1"
"NY","24"
"CT 06422","1"
"GA","8"
"CA 94134","1"
"NY 12589","1"
"CA","119"
"CA 95035","1"
"KY 40740","1"
"VA","9"
"MI","1"
"OH","5"
"ID","1"
"CA 94115","1"
"IA","1"
"FL","3"
"MD","4"
"MA","10"
"TX 79031","1"
"AR","1"
"IL","6"
"UT","2"
"IN","1"
"CT","2"
"MN","5"
"DC","5"
"KY","1"
"WI","2"
"AZ","6"
"MO","1"
"KS","1"
"OR","4"
"LA","1"
"NH","1"
"WA","24"
"CA 95959","1"
"NJ","4"
"MO 65265","1"
"IN 46077","1"
"TX","22"
"CO","7"
"PA","9"
"NC","9"
"IL 60007","1"
