id,value
"","591"
"HI","1"
"NY","18"
"GA","2"
"NV","2"
"MN 56228","1"
"TN","4"
"NY 11767","1"
"CA","86"
"VA","6"
"MI","6"
"OH","7"
"ID","1"
"DE","1"
"FL","9"
"IA","2"
"MD","4"
"MO 65754","1"
"MA","18"
"MA 02134","1"
"SC","4"
"TX 79031","3"
"AR","1"
"UT","3"
"IL","15"
"IN","3"
"CT","2"
"WV","1"
"MN","4"
"DC","4"
"IN 46120","1"
"WI","2"
"AZ","4"
"MO","1"
"OR","4"
"MS","1"
"MS 39192","1"
"NH","1"
"WA","16"
"NJ","1"
"AL","1"
"NM 87544","1"
"TX","14"
"MO 63130","1"
"CO","13"
"NC","3"
"PA","6"
"NE","2"
