id,value
"","463"
"RI","1"
"WA 99163","1"
"MI 49721","1"
"AR 72936","1"
"VA","6"
"WA 98826","1"
"MI","2"
"CA 94720","1"
"MD","5"
"MA","25"
"IL","14"
"UT","1"
"NJ 07470","1"
"IN","2"
"MN","4"
"AZ","1"
"MS","1"
"NH","1"
"NJ","3"
"AK","1"
"TX","17"
"AL","1"
"CA 92612","1"
"NC","3"
"NY","54"
"GA","6"
"CA 94305","1"
"TN","2"
"PA 15022","1"
"CA","81"
"OK","2"
"NM 87801","1"
"OH","2"
"WY","2"
"FL","7"
"SC","1"
"TX 79031","3"
"IL 61822","1"
"MD 21710","1"
"DC","9"
"NY 13760","1"
"WI","1"
"KS","1"
"OH 45817","1"
"OR","10"
"LA","1"
"WA","18"
"HI 96720","1"
"CO","6"
"PA","10"
