id,value
"RI","2"
"","600"
"VT","1"
"NC 27606","1"
"CT 06443","1"
"VA 22554","1"
"MI 48073","1"
"ME","1"
"CA 91108","1"
"VA","8"
"MI","9"
"MA 02151","1"
"DE","1"
"CO 80863","1"
"IA","1"
"MD","12"
"MA","22"
"AR","1"
"IL","14"
"UT","5"
"IN","2"
"MN","8"
"CA 95612","1"
"AZ","6"
"MO","5"
"MT","1"
"VA 23901","1"
"NH","2"
"NJ","6"
"NM","3"
"TX","24"
"MA 02140","1"
"NC","7"
"VA 20170","1"
"NE","1"
"PA 19029","1"
"NY","39"
"GA","3"
"TN","5"
"MA 02120","1"
"CA","102"
"ND 58647","1"
"OK","1"
"OH","6"
"WY","1"
"FL","7"
"OH 45505","1"
"SC","2"
"TX 79031","3"
"CA 95006","1"
"DC","12"
"NY 13760","1"
"KY","1"
"WI","6"
"KS","1"
"OR","10"
"MO 63862","1"
"LA","1"
"WA","31"
"CA 94530","1"
"CO","10"
"PA","12"
