id,value
"VT","1"
"","547"
"RI","1"
"NC 27606","1"
"WI 53150","1"
"ME","1"
"VA","6"
"MI","9"
"ID","1"
"TX 79927","1"
"MD","7"
"MA","17"
"AR","1"
"UT","4"
"IL","17"
"IN","3"
"MN","9"
"AZ","1"
"MO","4"
"MT","1"
"MS 39192","1"
"NH","2"
"NJ","3"
"NM","1"
"TX","18"
"FL 34957","1"
"NC","2"
"NE","1"
"PA 19029","1"
"NY","40"
"GA","5"
"NV","1"
"TN","4"
"CA","71"
"TX 77042","1"
"OK","1"
"ND 58647","1"
"OH","6"
"WY","1"
"FL","8"
"TX 79031","2"
"CT","2"
"DC","7"
"NY 13760","1"
"IN 46120","1"
"WI","8"
"KY","1"
"AR 71901","1"
"WI 54742","1"
"OH 45817","1"
"OR","3"
"NY 13210","1"
"AR 72560","1"
"LA","1"
"WA","16"
"WV 25422","1"
"CO","10"
"PA","9"
