id,value
"AUS","5"
"ISR","12"
"KAZ","1"
"Europe","1"
"ROU","2"
"KOR","3"
"DNK","1"
"THA","2"
"DEU","31"
"LKA","5"
"ITA","9"
"FIN","1"
"JPN","1"
"MEX","3"
"CAN","17"
"IND","82"
"HRV","3"
"ARG","1"
"IRN","2"
"UK","34"
"MYS","2"
"IRL","4"
"TUR","3"
"POL","7"
"BGR","1"
"EST","2"
"ESP","8"
"ZAF","3"
"PAK","1"
"SRB","3"
"GRC","2"
"FRA","18"
"HUN","2"
"GBR","3"
"BLR","3"
"VNM","1"
"CHE","8"
"Dubai - United Arab Emirates","1"
"SWE","9"
"CHL","1"
"CZE","4"
"CHN","16"
"HKG","1"
"Western Europe","1"
"NLD","8"
"SGP","3"
"USA","175"
"PHL","1"
"RUS","11"
"MLT","2"
"BRA","3"
"SVK","3"
"UKR","9"
"BEL","3"
