id,value
"PRT","2"
"AUS","10"
"ISR","25"
"BGD","1"
"Europe","3"
"ROU","2"
"KOR","3"
"DNK","5"
"THA","3"
"DEU","40"
"LKA","2"
"ITA","14"
"JPN","3"
"FIN","3"
"MEX","1"
"CAN","17"
"IND","114"
"HRV","2"
"ARG","2"
"UK","38"
"ARM","2"
"IRL","2"
"TUR","3"
"POL","23"
"EST","1"
"ESP","25"
"KEN","1"
"PAK","4"
"SRB","3"
"GRC","5"
"FRA","37"
"VEN","1"
"EGY","2"
"HUN","8"
"GBR","7"
"BLR","2"
"VNM","3"
"CHE","13"
"TWN","3"
"SWE","3"
"CHN","23"
"HKG","1"
"Western Europe","1"
"GTM","1"
"NLD","11"
"SGP","3"
"USA","260"
"RUS","23"
"PHL","2"
"CRI","1"
"BRA","11"
"SVK","2"
"UKR","10"
"BEL","9"
"SVN","1"
