id,value
"PRT","7"
"AUS","22"
"BGD","5"
"ISR","19"
"Europe","2"
"ROU","4"
"ISL","1"
"KGZ","1"
"GHA","1"
"DNK","8"
"NOR","6"
"THA","3"
"DEU","57"
"LKA","2"
"ITA","12"
"JPN","5"
"FIN","8"
"MEX","2"
"CAN","37"
"IDN","3"
"QAT","1"
"IND","43"
"HRV","1"
"ARG","3"
"IRN","6"
"UK","63"
"COL","1"
"MYS","2"
"IRL","1"
"TUR","5"
"POL","12"
"BGR","3"
"AUT","8"
"NGA","2"
"ESP","26"
"PAK","4"
"ZAF","2"
"Myanmar (Burma)","1"
"MDG","1"
"SRB","1"
"GRC","5"
"FRA","31"
"HUN","3"
"EGY","1"
"BLR","1"
"Simferopol","1"
"GBR","16"
"TWN","1"
"CHE","15"
"BHR","1"
"PYF","1"
"SWE","12"
"CHL","3"
"CZE","7"
"CHN","3"
"HKG","4"
"GTM","1"
"NLD","12"
"SGP","2"
"CYP","1"
"NZL","5"
"USA","296"
"Macedonia (FYROM)","2"
"RUS","10"
"CRI","1"
"BRA","15"
"SVK","3"
"UKR","6"
"SVN","1"
"BEL","12"
