id,value
"AUS","16"
"PRT","3"
"ISR","17"
"ROU","3"
"Europe","4"
"KOR","1"
"DNK","4"
"THA","1"
"NOR","7"
"DEU","50"
"SYR","1"
"LKA","2"
"ITA","14"
"FIN","6"
"JPN","4"
"CAN","35"
"IDN","1"
"QAT","1"
"IND","29"
"ARG","3"
"IRN","3"
"UK","70"
"COL","1"
"MYS","1"
"IRL","2"
"TUR","8"
"POL","8"
"BGR","3"
"AUT","9"
"NGA","1"
"EST","1"
"ESP","14"
"ZAF","2"
"ECU","1"
"PER","1"
"GRC","1"
"FRA","30"
"VEN","1"
"HUN","4"
"Simferopol","1"
"GBR","17"
"BLR","1"
"CHE","12"
"Dubai - United Arab Emirates","1"
"Srinagar","1"
"LVA","2"
"SWE","9"
"CZE","4"
"CHN","4"
"HKG","3"
"NPL","1"
"GTM","1"
"CUB","1"
"LTU","1"
"NLD","12"
"SGP","7"
"BMU","1"
"KHM","1"
"USA","295"
"NZL","3"
"PHL","2"
"RUS","11"
"BRA","7"
"SVN","2"
"BEL","7"
"UKR","3"
