id,value
"AUS","38"
"PRT","3"
"ISR","10"
"ROU","2"
"Europe","3"
"ISL","1"
"KOR","1"
"DNK","5"
"NOR","5"
"DEU","60"
"LKA","2"
"ITA","6"
"JPN","8"
"FIN","8"
"MEX","1"
"CAN","38"
"QAT","1"
"IND","37"
"HRV","2"
"ARG","3"
"IRN","2"
"UK","97"
"COL","1"
"TUN","1"
"MNE","1"
"MYS","2"
"IRL","6"
"TUR","3"
"POL","12"
"BGR","2"
"AUT","7"
"NGA","1"
"ESP","7"
"KEN","2"
"PAK","3"
"ZAF","3"
"SRB","1"
"ＴＯＭＯＲＲＯＷ","1"
"FRA","33"
"HUN","1"
"EGY","1"
"GBR","18"
"TWN","1"
"CHE","12"
"LVA","2"
"SWE","15"
"CHL","4"
"CZE","5"
"CHN","6"
"NPL","2"
"NLD","17"
"LTU","1"
"SGP","3"
"CYP","2"
"USA","363"
"NZL","14"
"LAO","1"
"ＥＡＳＴＣＯＡＳＴ","2"
"PHL","1"
"RUS","9"
"BRA","11"
"SVK","2"
"SVN","1"
"BEL","8"
"UKR","5"
