id,value
"AUS","22"
"PRT","5"
"ISR","21"
"BGD","4"
"KAZ","1"
"Europe","3"
"ROU","4"
"KOR","4"
"DNK","5"
"THA","3"
"BOL","1"
"NOR","10"
"DEU","61"
"LKA","1"
"ITA","6"
"SLV","1"
"FIN","3"
"JPN","2"
"MEX","1"
"CAN","22"
"UZB","2"
"IDN","2"
"IND","87"
"HRV","3"
"ARG","1"
"IRN","1"
"UK","62"
"ARM","1"
"COL","2"
"IRL","6"
"AZE","1"
"TUR","15"
"POL","19"
"333000","1"
"BGR","2"
"AUT","10"
"NGA","1"
"ESP","22"
"TJK","1"
"KEN","2"
"ECU","1"
"PAK","4"
"ZAF","7"
"DZA","1"
"GRC","5"
"FRA","62"
"EGY","3"
"URY","2"
"HUN","4"
"GBR","14"
"VNM","5"
"CHE","8"
"TWN","2"
"Dubai - United Arab Emirates","1"
"LVA","2"
"MUS","1"
"SWE","9"
"CZE","5"
"CHN","7"
"HKG","1"
"Western Europe","1"
"NPL","3"
"CUB","1"
"LTU","4"
"NLD","25"
"SGP","3"
"KHM","1"
"NZL","4"
"USA","268"
"GLP","1"
"ＥＡＳＴＣＯＡＳＴ","1"
"JOR","1"
"PHL","3"
"RUS","14"
"BRA","8"
"SVK","3"
"BEL","11"
"UKR","10"
