id,value
"PRT","1"
"AUS","14"
"BGD","1"
"ISR","4"
"Europe","1"
"ROU","5"
"ISL","1"
"KOR","1"
"DNK","2"
"THA","1"
"NOR","6"
"DEU","37"
"LKA","1"
"ITA","16"
"FIN","2"
"JPN","3"
"MEX","2"
"CAN","27"
"IDN","1"
"QAT","1"
"IND","13"
"HRV","2"
"ARG","3"
"IRN","2"
"UK","57"
"MYS","1"
"IRL","3"
"TUR","3"
"POL","5"
"BGR","1"
"AUT","8"
"ESP","2"
"ZAF","6"
"GRC","2"
"FRA","12"
"LUX","1"
"HUN","1"
"EGY","1"
"BLR","1"
"GBR","17"
"CHE","7"
"MDA","1"
"SWE","12"
"CHL","1"
"CZE","8"
"CHN","6"
"HKG","3"
"GTM","1"
"NLD","14"
"SGP","4"
"CYP","1"
"NZL","5"
"USA","202"
"PHL","1"
"RUS","7"
"CRI","1"
"BRA","10"
"SVK","1"
"BEL","4"
"SVN","3"
"UKR","3"
