id,value
"PRT","5"
"AUS","49"
"ISR","18"
"BGD","2"
"Europe","1"
"ROU","8"
"KOR","1"
"GHA","1"
"DNK","7"
"BOL","1"
"THA","3"
"NOR","8"
"DEU","48"
"LKA","2"
"LBN","2"
"ITA","11"
"JPN","3"
"FIN","5"
"MEX","3"
"CAN","45"
"IND","65"
"HRV","2"
"ARG","5"
"IRN","3"
"UK","86"
"1185 Hungary","1"
"ARM","1"
"MYS","3"
"IRL","5"
"TUR","10"
"POL","18"
"DOM","1"
"GEO","1"
"BGR","5"
"AUT","6"
"EST","3"
"SMR","1"
"ESP","30"
"ZAF","1"
"PAK","6"
"Myanmar (Burma)","1"
"SRB","1"
"PER","1"
"GRC","9"
"FRA","23"
"HUN","1"
"EGY","3"
"BLR","2"
"GBR","18"
"TWN","1"
"CHE","16"
"VNM","2"
"Dubai - United Arab Emirates","1"
"LVA","2"
"SWE","20"
"CHL","1"
"CZE","9"
"CHN","1"
"Riyadh Saudi Arabia","1"
"HKG","4"
"NPL","1"
"CUB","1"
"MAR","1"
"NLD","27"
"LTU","3"
"SGP","4"
"NZL","8"
"USA","327"
"MTQ","1"
"JOR","1"
"RUS","14"
"PHL","3"
"CRI","1"
"BRA","18"
"SVN","3"
"BEL","8"
"UKR","5"
