id,value
"AUS","13"
"PRT","1"
"ISR","16"
"BGD","2"
"ROU","5"
"Europe","1"
"KOR","3"
"DNK","3"
"NOR","1"
"DEU","40"
"LKA","3"
"LBN","1"
"ITA","9"
"JPN","2"
"FIN","4"
"MEX","2"
"CAN","12"
"IDN","1"
"IND","183"
"HRV","2"
"ARG","4"
"IRN","2"
"UK","33"
"TUN","2"
"VUT","1"
"MYS","2"
"IRL","5"
"AZE","1"
"TUR","4"
"POL","11"
"AUT","9"
"ESP","14"
"KEN","1"
"PAK","4"
"PER","1"
"SRB","2"
"GRC","4"
"FRA","22"
"URY","1"
"HUN","7"
"EGY","1"
"BLR","2"
"GBR","8"
"VNM","2"
"TWN","1"
"CHE","12"
"SWE","6"
"CZE","3"
"CHN","22"
"HKG","2"
"Western Europe","1"
"NPL","1"
"NLD","10"
"SGP","2"
"BMU","1"
"KHM","1"
"NZL","2"
"USA","336"
"Abu Dhabi - United Arab Emirates","1"
"JOR","1"
"RUS","19"
"BRA","3"
"SVK","1"
"UKR","9"
"BEL","6"
"BIH","2"
