id,value
"PRY","1"
"AUS","6"
"PRT","2"
"ISR","6"
"ROU","5"
"Europe","3"
"ISL","1"
"THA","1"
"DEU","23"
"ITA","6"
"JPN","2"
"FIN","1"
"MEX","1"
"CAN","20"
"IDN","2"
"IND","17"
"HRV","1"
"ARG","4"
"UK","24"
"ARM","2"
"COL","1"
"IRL","1"
"TUR","4"
"POL","7"
"BGR","1"
"AUT","1"
"ESP","6"
"PAK","2"
"ZAF","1"
"SRB","1"
"PER","1"
"GRC","2"
"FRA","14"
"EGY","1"
"HUN","2"
"GBR","9"
"Simferopol","1"
"BLR","1"
"CHE","6"
"VNM","1"
"TWN","1"
"SWE","5"
"Efrat","1"
"CHL","1"
"CZE","1"
"CHN","3"
"GTM","1"
"NLD","7"
"SGP","1"
"USA","98"
"NZL","1"
"RUS","11"
"BRA","5"
"UKR","4"
"BEL","6"
