id,value
"AUS","21"
"PRT","3"
"ISR","15"
"Europe","4"
"ROU","1"
"UGA","1"
"ISL","1"
"KOR","2"
"DNK","3"
"THA","2"
"NOR","2"
"DEU","44"
"LKA","2"
"ITA","13"
"FIN","1"
"JPN","4"
"MEX","1"
"CAN","29"
"IDN","2"
"QAT","1"
"IND","27"
"ARG","2"
"IRN","1"
"UK","52"
"AZE","1"
"IRL","4"
"TUR","1"
"POL","10"
"AUT","6"
"ESP","13"
"KEN","1"
"PAK","2"
"ZAF","3"
"SRB","2"
"GRC","3"
"VEN","1"
"FRA","25"
"GBR","8"
"Simferopol","1"
"BLR","3"
"TWN","3"
"CHE","6"
"VNM","1"
"Dubai - United Arab Emirates","2"
"Srinagar","1"
"LVA","1"
"SWE","5"
"CZE","3"
"CHN","6"
"HKG","3"
"NPL","2"
"GTM","1"
"NLD","8"
"SGP","8"
"NZL","1"
"USA","255"
"Macedonia (FYROM)","1"
"The World - United Arab Emirates","1"
"RUS","10"
"PHL","1"
"BRA","5"
"SVK","1"
"UKR","4"
"SVN","3"
"BEL","5"
