id,value
"AUS","24"
"PRT","2"
"ISR","14"
"BGD","1"
"ROU","8"
"Europe","7"
"KOR","2"
"DNK","5"
"NOR","6"
"DEU","65"
"ITA","21"
"JPN","4"
"FIN","7"
"MEX","2"
"CAN","40"
"IDN","2"
"678530","1"
"QAT","3"
"IND","25"
"HRV","1"
"ARG","2"
"IRN","2"
"UK","73"
"ARM","1"
"COL","1"
"IRL","7"
"TUR","5"
"POL","10"
"JEY","1"
"BGR","2"
"AUT","9"
"NGA","1"
"ESP","15"
"KEN","1"
"ZAF","3"
"PAK","2"
"SRB","3"
"GRC","5"
"FRA","28"
"EGY","1"
"HUN","3"
"Simferopol","1"
"GBR","25"
"BLR","1"
"TWN","4"
"CHE","14"
"LVA","1"
"SWE","19"
"CZE","5"
"CHN","7"
"Riyadh Saudi Arabia","1"
"HKG","4"
"GTM","1"
"NLD","14"
"SGP","3"
"CYP","1"
"NZL","2"
"USA","304"
"ＥＡＳＴＣＯＡＳＴ","1"
"RUS","17"
"BRA","16"
"SVK","5"
"BEL","6"
"UKR","7"
"BIH","1"
