id,value
"AUS","21"
"PRT","6"
"BGD","2"
"ISR","11"
"ROU","1"
"Europe","2"
"KOR","4"
"DNK","4"
"THA","2"
"NOR","5"
"DEU","53"
"LKA","1"
"ITA","8"
"FIN","5"
"JPN","4"
"MEX","2"
"CAN","24"
"IDN","1"
"IND","35"
"ARG","4"
"UK","59"
"COL","2"
"TUN","2"
"MYS","1"
"IRL","3"
"TUR","2"
"POL","8"
"AUT","6"
"NGA","2"
"EST","1"
"ESP","7"
"ZAF","5"
"SRB","2"
"GRC","1"
"VEN","1"
"FRA","30"
"HUN","1"
"GBR","11"
"Simferopol","1"
"TWN","2"
"CHE","12"
"MDA","1"
"Srinagar","1"
"MUS","1"
"SAU","1"
"SWE","7"
"CHL","2"
"CZE","4"
"CHN","8"
"Riyadh Saudi Arabia","1"
"HKG","3"
"OMN","1"
"NPL","1"
"LTU","1"
"NLD","19"
"SGP","4"
"BMU","1"
"NZL","1"
"USA","332"
"KWT","1"
"RUS","17"
"PHL","2"
"CRI","1"
"BRA","11"
"SVK","1"
"SVN","1"
"UKR","1"
"BEL","4"
