id,value
"AUS","14"
"PRT","4"
"BGD","1"
"ISR","13"
"Europe","2"
"ROU","4"
"KOR","5"
"DNK","6"
"NOR","3"
"THA","1"
"DEU","48"
"ITA","13"
"JPN","7"
"FIN","4"
"MEX","2"
"CAN","19"
"IDN","2"
"IND","54"
"HRV","1"
"ARG","6"
"IRN","1"
"UK","43"
"ARM","2"
"COL","2"
"MYS","1"
"IRL","1"
"TUR","6"
"POL","12"
"AUT","7"
"NGA","1"
"ESP","14"
"ZAF","1"
"PAK","4"
"Myanmar (Burma)","1"
"SRB","1"
"GRC","3"
"FRA","42"
"HUN","3"
"BLR","1"
"GBR","14"
"Simferopol","1"
"TWN","5"
"CHE","11"
"Dubai - United Arab Emirates","1"
"Srinagar","1"
"SWE","9"
"CZE","2"
"CHN","10"
"HKG","2"
"NLD","18"
"SGP","5"
"NZL","1"
"USA","286"
"ＥＡＳＴＣＯＡＳＴ","1"
"KWT","1"
"RUS","24"
"PHL","1"
"CRI","2"
"BRA","12"
"SVK","1"
"UKR","2"
"BEL","6"
