id,value
"AUS","40"
"PRT","2"
"ISR","14"
"BGD","1"
"ROU","3"
"Europe","3"
"ISL","1"
"KOR","1"
"TTO","1"
"DNK","11"
"THA","1"
"NOR","4"
"DEU","57"
"LKA","1"
"PNG","1"
"ITA","9"
"FIN","7"
"JPN","6"
"CAN","41"
"QAT","2"
"IND","20"
"HRV","1"
"ARG","6"
"IRN","1"
"UK","80"
"COL","2"
"IRL","7"
"TUR","3"
"POL","9"
"BGR","2"
"AUT","5"
"EST","1"
"ESP","14"
"ECU","1"
"ZAF","4"
"DZA","1"
"PER","1"
"SRB","2"
"GRC","3"
"FRA","28"
"HUN","2"
"BLR","1"
"Simferopol","1"
"GBR","23"
"CHE","18"
"LVA","3"
"SWE","16"
"CHL","1"
"CZE","3"
"HKG","3"
"LTU","1"
"NLD","24"
"SGP","3"
"BMU","1"
"USA","463"
"NZL","12"
"ＥＡＳＴＣＯＡＳＴ","1"
"RUS","12"
"MLT","1"
"BRA","7"
"SVK","3"
"SVN","3"
"BEL","10"
"UKR","5"
