id,value
"AUS","7"
"ISR","7"
"KAZ","1"
"ROU","2"
"DNK","4"
"DEU","30"
"LKA","1"
"ITA","1"
"JPN","8"
"FIN","2"
"CAN","13"
"IDN","3"
"IND","23"
"HRV","2"
"ARG","1"
"UK","17"
"IRL","3"
"TUR","4"
"POL","3"
"BGR","3"
"AUT","2"
"NGA","1"
"EST","1"
"ESP","7"
"ZAF","1"
"PAK","2"
"GRC","1"
"FRA","15"
"HUN","1"
"GBR","3"
"VNM","1"
"CHE","5"
"TWN","1"
"LVA","1"
"SWE","5"
"CHL","1"
"CZE","2"
"CHN","11"
"Riyadh Saudi Arabia","1"
"HKG","4"
"GTM","1"
"NLD","3"
"SGP","4"
"USA","129"
"NZL","1"
"RUS","5"
"PHL","3"
"BRA","9"
"BEL","1"
"UKR","4"
