id,value
"AUS","42"
"ISR","7"
"BGD","1"
"ROU","2"
"Europe","7"
"ISL","1"
"DNK","7"
"THA","1"
"NOR","6"
"DEU","56"
"ITA","9"
"JPN","8"
"FIN","4"
"MEX","1"
"CAN","35"
"QAT","1"
"IND","27"
"ARG","2"
"IRN","2"
"UK","71"
"IRL","2"
"TUR","5"
"POL","12"
"AUT","7"
"EST","1"
"ESP","12"
"KEN","1"
"ZAF","2"
"PAK","2"
"DZA","1"
"PER","3"
"SRB","2"
"GRC","3"
"FRA","28"
"HUN","2"
"BLR","1"
"GBR","16"
"CHE","20"
"TWN","2"
"516000","1"
"PYF","1"
"LVA","2"
"SWE","7"
"CZE","2"
"CHN","2"
"HKG","1"
"CUB","1"
"NLD","17"
"LTU","3"
"SGP","4"
"BMU","2"
"CYP","1"
"NZL","8"
"USA","358"
"ＥＡＳＴＣＯＡＳＴ","1"
"PHL","1"
"RUS","12"
"BRA","13"
"SVK","2"
"BEL","14"
"SVN","2"
"UKR","2"
