date,PostCount
2008-09-06,2.0
2008-09-11,2.0
2008-09-16,0.0
2008-09-21,5.0
2008-09-26,4.0
2008-10-01,0.0
2008-10-06,0.0
2008-10-11,0.0
2008-10-16,2.0
2008-10-21,0.0
2008-10-26,0.0
2008-10-31,1.0
2008-11-05,0.0
2008-11-10,1.0
2008-11-15,3.0
2008-11-20,0.0
2008-11-25,0.0
2008-11-30,2.0
2008-12-05,1.0
2008-12-10,1.0
2008-12-15,2.0
2008-12-20,0.0
2008-12-25,1.0
2008-12-30,0.0
2009-01-04,5.0
2009-01-09,3.0
2009-01-14,2.0
2009-01-19,0.0
2009-01-24,0.0
2009-01-29,1.0
2009-02-03,1.0
2009-02-08,4.0
2009-02-13,3.0
2009-02-18,3.0
2009-02-23,0.0
2009-02-28,0.0
2009-03-05,2.0
2009-03-10,2.0
2009-03-15,0.0
2009-03-20,2.0
2009-03-25,0.0
2009-03-30,2.0
2009-04-04,4.0
2009-04-09,1.0
2009-04-14,4.0
2009-04-19,4.0
2009-04-24,1.0
2009-04-29,3.0
2009-05-04,0.0
2009-05-09,5.0
2009-05-14,3.0
2009-05-19,5.0
2009-05-24,3.0
2009-05-29,2.0
2009-06-03,3.0
2009-06-08,2.0
2009-06-13,2.0
2009-06-18,1.0
2009-06-23,2.0
2009-06-28,2.0
2009-07-03,1.0
2009-07-08,3.0
2009-07-13,3.0
2009-07-18,0.0
2009-07-23,2.0
2009-07-28,2.0
2009-08-02,1.0
2009-08-07,2.0
2009-08-12,0.0
2009-08-17,4.0
2009-08-22,3.0
2009-08-27,4.0
2009-09-01,2.0
2009-09-06,4.0
2009-09-11,4.0
2009-09-16,0.0
2009-09-21,4.0
2009-09-26,4.0
2009-10-01,1.0
2009-10-06,2.0
2009-10-11,8.0
2009-10-16,3.0
2009-10-21,3.0
2009-10-26,3.0
2009-10-31,4.0
2009-11-05,2.0
2009-11-10,3.0
2009-11-15,5.0
2009-11-20,5.0
2009-11-25,3.0
2009-11-30,3.0
2009-12-05,11.0
2009-12-10,7.0
2009-12-15,7.0
2009-12-20,2.0
2009-12-25,1.0
2009-12-30,3.0
2010-01-04,3.0
2010-01-09,0.0
2010-01-14,2.0
2010-01-19,3.0
2010-01-24,5.0
2010-01-29,7.0
2010-02-03,4.0
2010-02-08,3.0
2010-02-13,3.0
2010-02-18,7.0
2010-02-23,2.0
2010-02-28,2.0
2010-03-05,3.0
2010-03-10,3.0
2010-03-15,6.0
2010-03-20,4.0
2010-03-25,6.0
2010-03-30,8.0
2010-04-04,3.0
2010-04-09,4.0
2010-04-14,5.0
2010-04-19,3.0
2010-04-24,3.0
2010-04-29,5.0
2010-05-04,9.0
2010-05-09,3.0
2010-05-14,4.0
2010-05-19,3.0
2010-05-24,6.0
2010-05-29,7.0
2010-06-03,2.0
2010-06-08,4.0
2010-06-13,1.0
2010-06-18,5.0
2010-06-23,2.0
2010-06-28,5.0
2010-07-03,2.0
2010-07-08,3.0
2010-07-13,0.0
2010-07-18,2.0
2010-07-23,3.0
2010-07-28,4.0
2010-08-02,3.0
2010-08-07,4.0
2010-08-12,6.0
2010-08-17,4.0
2010-08-22,5.0
2010-08-27,4.0
2010-09-01,7.0
2010-09-06,4.0
2010-09-11,3.0
2010-09-16,6.0
2010-09-21,5.0
2010-09-26,2.0
2010-10-01,2.0
2010-10-06,6.0
2010-10-11,5.0
2010-10-16,6.0
2010-10-21,7.0
2010-10-26,5.0
2010-10-31,4.0
2010-11-05,9.0
2010-11-10,5.0
2010-11-15,2.0
2010-11-20,6.0
2010-11-25,8.0
2010-11-30,3.0
2010-12-05,8.0
2010-12-10,8.0
2010-12-15,5.0
2010-12-20,1.0
2010-12-25,4.0
2010-12-30,3.0
2011-01-04,5.0
2011-01-09,2.0
2011-01-14,2.0
2011-01-19,7.0
2011-01-24,5.0
2011-01-29,3.0
2011-02-03,6.0
2011-02-08,13.0
2011-02-13,4.0
2011-02-18,7.0
2011-02-23,3.0
2011-02-28,5.0
2011-03-05,6.0
2011-03-10,5.0
2011-03-15,5.0
2011-03-20,12.0
2011-03-25,16.0
2011-03-30,12.0
2011-04-04,7.0
2011-04-09,6.0
2011-04-14,5.0
2011-04-19,11.0
2011-04-24,13.0
2011-04-29,7.0
2011-05-04,7.0
2011-05-09,11.0
2011-05-14,5.0
2011-05-19,9.0
2011-05-24,5.0
2011-05-29,3.0
2011-06-03,0.0
2011-06-08,2.0
2011-06-13,4.0
2011-06-18,6.0
2011-06-23,4.0
2011-06-28,7.0
2011-07-03,6.0
2011-07-08,5.0
2011-07-13,3.0
2011-07-18,5.0
2011-07-23,10.0
2011-07-28,10.0
2011-08-02,6.0
2011-08-07,2.0
2011-08-12,3.0
2011-08-17,6.0
2011-08-22,1.0
2011-08-27,5.0
2011-09-01,4.0
2011-09-06,9.0
2011-09-11,5.0
2011-09-16,9.0
2011-09-21,5.0
2011-09-26,9.0
2011-10-01,2.0
2011-10-06,8.0
2011-10-11,6.0
2011-10-16,8.0
2011-10-21,10.0
2011-10-26,7.0
2011-10-31,2.0
2011-11-05,5.0
2011-11-10,10.0
2011-11-15,9.0
2011-11-20,3.0
2011-11-25,4.0
2011-11-30,7.0
2011-12-05,2.0
2011-12-10,6.0
2011-12-15,6.0
2011-12-20,6.0
2011-12-25,10.0
2011-12-30,3.0
2012-01-04,4.0
2012-01-09,12.0
2012-01-14,11.0
2012-01-19,7.0
2012-01-24,13.0
2012-01-29,6.0
2012-02-03,8.0
2012-02-08,3.0
2012-02-13,10.0
2012-02-18,8.0
2012-02-23,10.0
2012-02-28,6.0
2012-03-04,4.0
2012-03-09,7.0
2012-03-14,12.0
2012-03-19,8.0
2012-03-24,11.0
