date,PostCount
2008-09-06,1.0
2008-09-11,0.0
2008-09-16,1.0
2008-09-21,1.0
2008-09-26,0.0
2008-10-01,0.0
2008-10-06,0.0
2008-10-11,0.0
2008-10-16,2.0
2008-10-21,0.0
2008-10-26,0.0
2008-10-31,0.0
2008-11-05,0.0
2008-11-10,0.0
2008-11-15,1.0
2008-11-20,1.0
2008-11-25,1.0
2008-11-30,0.0
2008-12-05,0.0
2008-12-10,1.0
2008-12-15,0.0
2008-12-20,0.0
2008-12-25,0.0
2008-12-30,0.0
2009-01-04,1.0
2009-01-09,0.0
2009-01-14,0.0
2009-01-19,0.0
2009-01-24,3.0
2009-01-29,4.0
2009-02-03,0.0
2009-02-08,1.0
2009-02-13,1.0
2009-02-18,0.0
2009-02-23,1.0
2009-02-28,1.0
2009-03-05,0.0
2009-03-10,1.0
2009-03-15,0.0
2009-03-20,0.0
2009-03-25,1.0
2009-03-30,1.0
2009-04-04,2.0
2009-04-09,2.0
2009-04-14,3.0
2009-04-19,0.0
2009-04-24,2.0
2009-04-29,1.0
2009-05-04,1.0
2009-05-09,4.0
2009-05-14,1.0
2009-05-19,2.0
2009-05-24,0.0
2009-05-29,0.0
2009-06-03,0.0
2009-06-08,3.0
2009-06-13,3.0
2009-06-18,1.0
2009-06-23,0.0
2009-06-28,0.0
2009-07-03,2.0
2009-07-08,0.0
2009-07-13,0.0
2009-07-18,2.0
2009-07-23,2.0
2009-07-28,0.0
2009-08-02,1.0
2009-08-07,0.0
2009-08-12,1.0
2009-08-17,2.0
2009-08-22,4.0
2009-08-27,0.0
2009-09-01,1.0
2009-09-06,1.0
2009-09-11,1.0
2009-09-16,0.0
2009-09-21,0.0
2009-09-26,0.0
2009-10-01,0.0
2009-10-06,0.0
2009-10-11,2.0
2009-10-16,3.0
2009-10-21,2.0
2009-10-26,2.0
2009-10-31,2.0
2009-11-05,2.0
2009-11-10,3.0
2009-11-15,3.0
2009-11-20,5.0
2009-11-25,1.0
2009-11-30,3.0
2009-12-05,3.0
2009-12-10,3.0
2009-12-15,2.0
2009-12-20,1.0
2009-12-25,1.0
2009-12-30,2.0
2010-01-04,1.0
2010-01-09,1.0
2010-01-14,1.0
2010-01-19,5.0
2010-01-24,9.0
2010-01-29,4.0
2010-02-03,2.0
2010-02-08,3.0
2010-02-13,3.0
2010-02-18,4.0
2010-02-23,9.0
2010-02-28,0.0
2010-03-05,0.0
2010-03-10,4.0
2010-03-15,9.0
2010-03-20,4.0
2010-03-25,5.0
2010-03-30,7.0
2010-04-04,5.0
2010-04-09,4.0
2010-04-14,4.0
2010-04-19,5.0
2010-04-24,6.0
2010-04-29,4.0
2010-05-04,13.0
2010-05-09,7.0
2010-05-14,4.0
2010-05-19,2.0
2010-05-24,1.0
2010-05-29,7.0
2010-06-03,2.0
2010-06-08,7.0
2010-06-13,3.0
2010-06-18,6.0
2010-06-23,5.0
2010-06-28,7.0
2010-07-03,1.0
2010-07-08,4.0
2010-07-13,4.0
2010-07-18,3.0
2010-07-23,3.0
2010-07-28,7.0
2010-08-02,1.0
2010-08-07,6.0
2010-08-12,3.0
2010-08-17,6.0
2010-08-22,3.0
2010-08-27,3.0
2010-09-01,2.0
2010-09-06,2.0
2010-09-11,7.0
2010-09-16,2.0
2010-09-21,4.0
2010-09-26,5.0
2010-10-01,3.0
2010-10-06,7.0
2010-10-11,3.0
2010-10-16,5.0
2010-10-21,3.0
2010-10-26,5.0
2010-10-31,1.0
2010-11-05,9.0
2010-11-10,5.0
2010-11-15,0.0
2010-11-20,6.0
2010-11-25,5.0
2010-11-30,7.0
2010-12-05,3.0
2010-12-10,6.0
2010-12-15,3.0
2010-12-20,1.0
2010-12-25,2.0
2010-12-30,4.0
2011-01-04,1.0
2011-01-09,6.0
