date,PostCount
2008-09-06,1.0
2008-09-11,0.0
2008-09-16,3.0
2008-09-21,4.0
2008-09-26,3.0
2008-10-01,3.0
2008-10-06,2.0
2008-10-11,3.0
2008-10-16,4.0
2008-10-21,2.0
2008-10-26,3.0
2008-10-31,2.0
2008-11-05,2.0
2008-11-10,1.0
2008-11-15,2.0
2008-11-20,2.0
2008-11-25,2.0
2008-11-30,1.0
2008-12-05,1.0
2008-12-10,2.0
2008-12-15,1.0
2008-12-20,0.0
2008-12-25,0.0
2008-12-30,2.0
2009-01-04,3.0
2009-01-09,0.0
2009-01-14,3.0
2009-01-19,1.0
2009-01-24,1.0
2009-01-29,2.0
2009-02-03,2.0
2009-02-08,0.0
2009-02-13,2.0
2009-02-18,1.0
2009-02-23,5.0
2009-02-28,2.0
2009-03-05,6.0
2009-03-10,2.0
2009-03-15,0.0
2009-03-20,4.0
2009-03-25,0.0
2009-03-30,3.0
2009-04-04,0.0
2009-04-09,3.0
2009-04-14,4.0
2009-04-19,1.0
2009-04-24,5.0
2009-04-29,2.0
2009-05-04,2.0
2009-05-09,2.0
2009-05-14,4.0
2009-05-19,1.0
2009-05-24,3.0
2009-05-29,1.0
2009-06-03,2.0
2009-06-08,2.0
2009-06-13,3.0
2009-06-18,5.0
2009-06-23,1.0
2009-06-28,5.0
2009-07-03,0.0
2009-07-08,4.0
2009-07-13,2.0
2009-07-18,2.0
2009-07-23,5.0
2009-07-28,2.0
2009-08-02,4.0
2009-08-07,5.0
2009-08-12,1.0
2009-08-17,6.0
2009-08-22,2.0
2009-08-27,7.0
2009-09-01,2.0
2009-09-06,4.0
2009-09-11,2.0
2009-09-16,3.0
2009-09-21,0.0
2009-09-26,5.0
2009-10-01,2.0
2009-10-06,1.0
2009-10-11,0.0
2009-10-16,4.0
2009-10-21,2.0
2009-10-26,4.0
2009-10-31,4.0
2009-11-05,3.0
2009-11-10,8.0
2009-11-15,2.0
2009-11-20,2.0
2009-11-25,7.0
2009-11-30,5.0
2009-12-05,5.0
2009-12-10,6.0
2009-12-15,3.0
2009-12-20,5.0
2009-12-25,1.0
2009-12-30,1.0
2010-01-04,3.0
2010-01-09,3.0
2010-01-14,6.0
2010-01-19,5.0
2010-01-24,4.0
2010-01-29,3.0
2010-02-03,7.0
2010-02-08,3.0
2010-02-13,8.0
2010-02-18,3.0
2010-02-23,10.0
2010-02-28,8.0
2010-03-05,5.0
2010-03-10,4.0
2010-03-15,3.0
2010-03-20,5.0
2010-03-25,7.0
2010-03-30,2.0
2010-04-04,4.0
2010-04-09,6.0
2010-04-14,4.0
2010-04-19,8.0
2010-04-24,8.0
2010-04-29,6.0
2010-05-04,3.0
2010-05-09,5.0
2010-05-14,6.0
2010-05-19,8.0
2010-05-24,4.0
2010-05-29,3.0
2010-06-03,12.0
2010-06-08,2.0
2010-06-13,2.0
2010-06-18,6.0
2010-06-23,2.0
2010-06-28,7.0
2010-07-03,3.0
2010-07-08,3.0
2010-07-13,4.0
2010-07-18,6.0
2010-07-23,5.0
2010-07-28,2.0
2010-08-02,6.0
2010-08-07,6.0
2010-08-12,7.0
2010-08-17,5.0
2010-08-22,4.0
2010-08-27,3.0
2010-09-01,5.0
2010-09-06,7.0
2010-09-11,6.0
2010-09-16,10.0
2010-09-21,3.0
2010-09-26,11.0
2010-10-01,13.0
2010-10-06,10.0
2010-10-11,9.0
2010-10-16,10.0
2010-10-21,7.0
2010-10-26,9.0
2010-10-31,5.0
2010-11-05,7.0
2010-11-10,5.0
2010-11-15,5.0
2010-11-20,12.0
2010-11-25,8.0
2010-11-30,9.0
2010-12-05,7.0
2010-12-10,9.0
2010-12-15,5.0
2010-12-20,10.0
2010-12-25,9.0
2010-12-30,7.0
2011-01-04,8.0
2011-01-09,9.0
