date,PostCount
2015-11-14 13:52:52,76.0
2015-11-19 13:52:52,55.0
2015-11-24 13:52:52,28.0
2015-11-29 13:52:52,33.0
2015-12-04 13:52:52,31.0
2015-12-09 13:52:52,30.0
2015-12-14 13:52:52,43.0
2015-12-19 13:52:52,40.0
2015-12-24 13:52:52,27.0
2015-12-29 13:52:52,16.0
2016-01-03 13:52:52,15.0
2016-01-08 13:52:52,23.0
2016-01-13 13:52:52,33.0
2016-01-18 13:52:52,26.0
2016-01-23 13:52:52,37.0
2016-01-28 13:52:52,30.0
2016-02-02 13:52:52,25.0
2016-02-07 13:52:52,32.0
2016-02-12 13:52:52,49.0
2016-02-17 13:52:52,36.0
2016-02-22 13:52:52,44.0
2016-02-27 13:52:52,42.0
2016-03-03 13:52:52,57.0
2016-03-08 13:52:52,35.0
2016-03-13 13:52:52,35.0
2016-03-18 13:52:52,39.0
2016-03-23 13:52:52,34.0
2016-03-28 13:52:52,45.0
2016-04-02 13:52:52,41.0
2016-04-07 13:52:52,43.0
2016-04-12 13:52:52,49.0
2016-04-17 13:52:52,42.0
2016-04-22 13:52:52,52.0
2016-04-27 13:52:52,47.0
2016-05-02 13:52:52,55.0
2016-05-07 13:52:52,76.0
2016-05-12 13:52:52,68.0
2016-05-17 13:52:52,49.0
2016-05-22 13:52:52,52.0
2016-05-27 13:52:52,59.0
2016-06-01 13:52:52,47.0
2016-06-06 13:52:52,73.0
2016-06-11 13:52:52,93.0
2016-06-16 13:52:52,89.0
2016-06-21 13:52:52,82.0
2016-06-26 13:52:52,84.0
2016-07-01 13:52:52,107.0
2016-07-06 13:52:52,75.0
2016-07-11 13:52:52,85.0
2016-07-16 13:52:52,104.0
2016-07-21 13:52:52,92.0
2016-07-26 13:52:52,87.0
2016-07-31 13:52:52,95.0
2016-08-05 13:52:52,107.0
2016-08-10 13:52:52,67.0
2016-08-15 13:52:52,91.0
2016-08-20 13:52:52,108.0
2016-08-25 13:52:52,78.0
2016-08-30 13:52:52,87.0
2016-09-04 13:52:52,68.0
2016-09-09 13:52:52,90.0
2016-09-14 13:52:52,76.0
2016-09-19 13:52:52,73.0
2016-09-24 13:52:52,84.0
2016-09-29 13:52:52,99.0
2016-10-04 13:52:52,84.0
2016-10-09 13:52:52,99.0
2016-10-14 13:52:52,98.0
2016-10-19 13:52:52,97.0
2016-10-24 13:52:52,107.0
2016-10-29 13:52:52,112.0
2016-11-03 13:52:52,133.0
2016-11-08 13:52:52,139.0
2016-11-13 13:52:52,107.0
2016-11-18 13:52:52,141.0
2016-11-23 13:52:52,142.0
2016-11-28 13:52:52,72.0
